created_at,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,title,edit_history_tweet_ids,id,author_id,Category,engagement,total_engagement
2025-03-07T08:02:58.000Z,1,1,0,0,0,115,"Bear Hug

Thank you everyone for not sitting down after Easy. His handwritten lyrics sobs. This song will never not hit me no matter how many times I hear it live. Ever.

Full: https://t.co/uL785P1GpR

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/Oi1bOdCpNV",1897920899493285966,1897920899493285966,1289369968484610048,Music,117,117
2025-03-06T07:23:01.000Z,214,1,236,0,4,3103,"Check out GRAZIA Singapore's video!  

🔗https://t.co/7MNh52q6YM

#srchafreen 
#ValentinoFW25xFreen
#VALENTINOGARAVANI
#ParisFashionWeek #PFW",1897548455234453808,1897548455234453808,1754657994577424384,How-to & Style,3558,3558
2025-03-05T04:04:39.000Z,461,2,513,4,18,4865,"Check out GRAZIA Singapore's video! 

🔗https://t.co/myOSHxfzTs

#srchafreen 
#ValentinoFW25xFreen
#VALENTINOGARAVANI
#ParisFashionWeek #PFW https://t.co/LftdG2LqYC",1897136149334016153,1897136149334016153,1754657994577424384,How-to & Style,5863,5863
2025-03-04T10:06:05.000Z,0,1,3,1,2,6342,"Should you marry for a home? Singapore’s famous public housing system is not without its own social quirks. 

@DextLow explains https://t.co/FljoimiE4W https://t.co/cPyEbL3U7x",1896864719069200458,1896864719069200458,252751061,News & Politics,6349,6349
2025-03-03T14:19:58.000Z,225,1,319,1,9,4923,"FREEN X VALENTINO 
for GRAZIA SINGAPORE

Please engage with Grazia SG TikTok update, it’s part of PFW MIV.

https://t.co/QFGBOORanI

👍🏼 Like
💬 Coment
🔁 Share 
🔖 Bookmark 

#srchafreen 
#ValentinoFW25xFreen
#VALENTINOGARAVANI https://t.co/7B3bdwifzP",1896566222344585579,1896566222344585579,1704835705086631936,How-to & Style,5478,5478
2025-03-05T14:45:24.000Z,13,0,11,0,1,154,"Check out GRAZIA Singapore's video! #TikTok https://t.co/ibL8ZetKBM

@valentinoTH

#ValentinoFW25xFreen
#VALENTINOGARAVANI
#ParisFashionWeek #PFW
#srchafreen
#FreenSarocha 
#GRAZIASingapore 
🥹🫠😍😱🫂♾️💋🌷",1897297398776652094,1897297398776652094,1694526030797582337,How-to & Style,179,179
2025-03-05T05:13:56.000Z,8,0,6,0,1,352,"#srchafreen
#ValentinoFW25xfreen
#GRAZIAMalaysiaxFreen
#GRAZIASingaporexFreen
Check out GRAZIA Singapore's video! #TikTok https://t.co/ZcI4Vd5FaC",1897153582547526118,1897153582547526118,1142481696,How-to & Style,367,367
2025-03-01T11:51:29.000Z,297,2,471,2,5,4584,"[ Trending in YouTube Singapore ] 🇸🇬

SB19’s ‘DAM’ MV is now #5 on Trending for Music on YouTube in Singapore! 

Let’s keep sharing the video and aim for the top 📈

🔗 https://t.co/aqglPKEvQv

BUNGA NG MGA HIRAYA 
DAM LIMANG MILYON NA
@SB19Official #SB19
#SB19DAM… https://t.co/xHu4IIhq0J https://t.co/YzWH4gxfiK",1895804080154653151,1895804080154653151,1230119449237131266,Music,5361,5361
2025-03-07T03:56:31.000Z,0,0,2,0,0,1010,"🌞 Top of the Morning ☕️

📉📈 Stock Market Ready For A Comeback?
🤝 Razorpay's Global Play: Razorpay is making bold moves beyond India, expanding into Singapore after its success in Malaysia.
🤑Game-Changing Mudra Loans and more...

📺Watch here 👇
https://t.co/KCmlLtu57n… https://t.co/vBPUGSCeWq https://t.co/jAIpKcz3SL",1897858878525915445,1897858878525915445,17673635,News & Politics,1012,1012
2025-03-06T09:58:42.000Z,11,0,11,0,0,369,"Attention Singapore mewlions! 

#MewSuppasit @MSuppasit #มิวศุภศิษฏ์ 

Check out Thann Singapore's video! #TikTok https://t.co/d1eUkxR0lC",1897587635201396759,1897587635201396759,1555171977970626561,Entertainment,391,391
2025-03-07T12:30:00.000Z,0,1,0,0,0,575,"KICK-OFF! Geylang vs Balestier #SPL #GEYBAL

LIVE ➡️ YouTube (https://t.co/NM7dqLFdtL), meWATCH (https://t.co/advz4YGsad), Singtel Ch 112 https://t.co/GeU9nktStE",1897988099277570172,1897988099277570172,574434636,Sports,576,576
2025-03-07T09:26:51.000Z,34,0,39,0,0,564,"#GIRLFREEN NEED more Engagement here! Views below 7K likes under 2K! All other have good engagement let's make sure all posts are engaged. 

#ValentinoFW25xFreen
#VALENTINOGARAVANI
#ParisFashionWeek
#srchafreen #FreenSarocha
 https://t.co/vhnRZv6AyS",1897942006837788863,1897942006837788863,1746109125770321920,How-to & Style,637,637
2025-03-01T13:48:26.000Z,10,1,10,0,2,391,"Soundcheck: Scented Things

His voice just... transports you to another realm. 

Full: https://t.co/nNzem4j5dM

#YESUNG #2025_YESUNG_CONCERT_Its_Complicated_in_SINGAPORE https://t.co/XkswsDEHqC",1895833509429903459,1895833509429903459,1289369968484610048,Music,414,414
